iter	Passed	Remaining
432	799	1046
433	801	1045
434	803	1043
435	804	1041
436	806	1038
437	807	1036
438	808	1033
439	810	1030
440	811	1028
441	812	1025
442	813	1023
443	815	1021
444	817	1019
445	818	1017
446	820	1014
447	822	1013
448	824	1011
449	825	1009
450	828	1008
451	831	1008
452	834	1007
453	835	1005
454	837	1003
455	839	1001
456	841	999
457	843	997
458	844	995
459	845	993
460	847	990
461	848	988
462	850	986
463	852	984
464	853	981
465	855	979
466	856	977
467	859	976
468	860	974
469	862	972
470	863	969
471	865	967
472	866	965
473	867	963
474	870	962
475	873	961
476	875	959
477	876	957
478	878	955
479	879	952
480	880	950
481	882	948
482	884	946
483	887	945
484	890	945
485	892	943
486	893	941
487	895	939
488	896	936
489	897	934
490	900	933
491	903	932
492	904	930
493	906	928
494	907	926
495	909	923
496	910	921
497	911	919
498	913	916
499	915	915
500	917	914
501	919	911
502	920	909
503	921	907
504	922	904
505	924	902
506	925	899
507	926	897
508	927	895
509	929	892
510	931	891
511	932	889
512	934	886
513	935	884
514	936	881
515	937	879
516	939	877
517	940	874
518	941	872
519	943	870
520	945	868
521	946	866
522	947	864
523	948	861
524	949	859
525	951	857
526	952	855
527	953	852
528	954	850
529	956	847
530	957	845
531	959	843
532	960	841
533	961	839
534	962	836
535	964	834
536	965	832
537	966	829
538	967	827
539	968	825
540	969	822
541	971	820
542	972	818
543	973	816
544	974	813
545	976	811
546	977	809
547	978	807
548	979	804
549	980	802
550	982	800
551	983	798
552	984	795
553	985	793
554	987	791
555	988	789
556	989	787
557	990	784
558	991	782
559	992	780
560	993	777
561	994	775
562	996	773
563	997	770
564	998	768
565	999	766
566	1000	763
567	1001	761
568	1003	759
569	1004	757
570	1005	755
571	1006	753
572	1007	750
573	1008	748
574	1009	746
575	1010	743
576	1011	741
577	1012	739
578	1013	737
579	1015	735
580	1016	733
581	1017	730
582	1018	728
583	1020	726
584	1021	724
585	1022	722
586	1023	719
587	1024	717
588	1025	715
589	1026	713
590	1027	711
591	1028	709
592	1029	706
593	1031	704
594	1032	702
595	1033	700
596	1034	698
597	1035	696
598	1036	694
599	1037	691
600	1038	689
601	1039	687
602	1041	685
603	1042	683
604	1043	681
605	1044	679
606	1045	676
607	1046	674
608	1048	672
609	1049	670
610	1050	668
611	1051	666
612	1052	664
613	1053	662
614	1054	660
615	1055	658
616	1056	656
617	1058	653
618	1059	651
619	1060	649
620	1061	648
621	1063	646
622	1064	643
623	1065	641
624	1066	639
625	1067	637
626	1068	635
627	1069	633
628	1070	631
629	1071	629
630	1072	627
631	1074	625
632	1075	623
633	1076	621
634	1077	619
635	1078	617
636	1080	615
637	1081	613
638	1082	611
639	1083	609
640	1084	607
641	1085	605
642	1086	603
643	1087	601
644	1088	599
645	1090	597
646	1091	595
647	1092	593
648	1093	591
649	1094	589
650	1095	587
651	1096	585
652	1097	583
653	1099	581
654	1100	579
655	1101	577
656	1102	575
657	1103	573
658	1104	571
659	1105	569
660	1106	567
661	1108	565
662	1109	563
663	1110	561
664	1111	559
665	1112	558
666	1113	556
667	1114	554
668	1115	552
669	1117	550
670	1118	548
671	1119	546
672	1120	544
673	1121	542
674	1122	540
675	1123	538
676	1124	536
677	1126	534
678	1127	532
679	1128	530
680	1129	528
681	1130	527
682	1131	525
683	1132	523
684	1133	521
685	1135	519
686	1136	517
687	1137	515
688	1138	513
689	1139	511
690	1140	510
691	1141	508
692	1142	506
693	1144	504
694	1145	502
695	1146	500
696	1147	498
697	1148	496
698	1149	495
699	1150	493
700	1151	491
701	1152	489
702	1153	487
703	1155	485
704	1156	483
705	1157	481
706	1158	480
707	1159	478
708	1160	476
709	1161	474
710	1163	472
711	1164	470
712	1165	469
713	1166	467
714	1167	465
715	1168	463
716	1170	461
717	1171	459
718	1172	458
719	1173	456
720	1174	454
721	1175	452
722	1176	450
723	1177	449
724	1178	447
725	1179	445
726	1180	443
727	1181	441
728	1182	439
729	1183	437
730	1185	436
731	1186	434
732	1187	432
733	1188	430
734	1189	428
735	1190	427
736	1192	425
737	1193	423
738	1194	421
739	1195	420
740	1198	418
741	1199	417
742	1200	415
743	1202	413
744	1203	411
745	1205	410
746	1208	409
747	1209	407
748	1210	405
749	1211	403
750	1213	402
751	1214	400
752	1215	398
753	1216	396
754	1217	395
755	1218	393
756	1220	391
757	1222	390
758	1223	388
759	1224	386
760	1226	385
761	1227	383
762	1228	381
763	1229	379
764	1231	378
765	1232	376
766	1233	374
767	1236	373
768	1238	372
769	1239	370
770	1241	368
771	1242	366
772	1243	365
773	1245	363
774	1246	361
775	1247	360
776	1250	358
777	1252	357
778	1254	355
779	1255	354
780	1256	352
781	1258	350
782	1259	348
783	1260	347
784	1261	345
785	1262	343
786	1265	342
787	1267	340
788	1268	339
789	1269	337
790	1270	335
791	1272	334
792	1273	332
793	1274	330
794	1275	329
795	1277	327
796	1278	325
797	1281	324
798	1282	322
799	1284	321
800	1285	319
801	1286	317
802	1287	315
803	1288	314
804	1289	312
805	1290	310
806	1292	309
807	1294	307
808	1296	306
809	1297	304
810	1298	302
811	1299	300
812	1301	299
813	1302	297
814	1303	295
815	1304	294
816	1305	292
817	1306	290
818	1307	288
819	1309	287
820	1310	285
821	1311	284
822	1313	282
823	1314	280
824	1315	279
825	1316	277
826	1317	275
827	1319	274
828	1320	272
829	1321	270
830	1323	269
831	1324	267
832	1325	265
833	1327	264
834	1328	262
835	1329	260
836	1330	259
837	1331	257
838	1332	255
839	1333	254
840	1335	252
841	1336	250
842	1337	249
843	1339	247
844	1340	245
845	1341	244
846	1343	242
847	1344	240
848	1345	239
849	1346	237
850	1347	235
851	1348	234
852	1350	232
853	1351	230
854	1353	229
855	1354	227
856	1355	226
857	1357	224
858	1358	222
859	1359	221
860	1360	219
861	1361	217
862	1362	216
863	1363	214
864	1364	213
865	1366	211
866	1367	209
867	1369	208
868	1370	206
869	1371	204
870	1372	203
871	1373	201
872	1374	200
873	1375	198
874	1376	196
875	1377	195
876	1379	193
877	1380	191
878	1381	190
879	1383	188
880	1384	187
881	1385	185
882	1387	183
883	1388	182
884	1389	180
885	1390	178
886	1391	177
887	1392	175
888	1393	174
889	1395	172
890	1397	171
891	1399	169
892	1400	167
893	1401	166
894	1402	164
895	1403	162
896	1404	161
897	1405	159
898	1406	158
899	1407	156
900	1408	154
901	1409	153
902	1412	151
903	1413	150
904	1414	148
905	1416	146
906	1417	145
907	1418	143
908	1419	142
909	1420	140
910	1421	138
911	1422	137
912	1423	135
913	1425	134
914	1427	132
915	1428	131
916	1429	129
917	1431	127
918	1432	126
919	1433	124
920	1434	123
921	1435	121
922	1437	119
923	1438	118
924	1439	116
925	1441	115
926	1443	113
927	1444	112
928	1445	110
929	1446	108
930	1447	107
931	1448	105
932	1449	104
933	1450	102
934	1451	100
935	1453	99
936	1455	97
937	1456	96
938	1457	94
939	1459	93
940	1460	91
941	1461	89
942	1462	88
943	1463	86
944	1464	85
945	1465	83
946	1466	82
947	1467	80
948	1470	79
949	1471	77
950	1473	75
951	1474	74
952	1475	72
953	1476	71
954	1477	69
955	1478	68
956	1479	66
957	1480	64
958	1481	63
959	1482	61
960	1484	60
961	1485	58
962	1486	57
963	1487	55
964	1488	54
965	1490	52
966	1491	50
967	1492	49
968	1493	47
969	1494	46
970	1495	44
971	1496	43
972	1498	41
973	1500	40
974	1501	38
975	1502	36
976	1503	35
977	1504	33
978	1505	32
979	1506	30
980	1507	29
981	1508	27
982	1509	26
983	1510	24
984	1512	23
985	1514	21
986	1515	19
987	1516	18
988	1518	16
989	1519	15
990	1520	13
991	1521	12
992	1522	10
993	1523	9
994	1525	7
995	1526	6
996	1528	4
997	1529	3
998	1530	1
999	1532	0
